time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	8.72567e-07	190.98099999999997	2.47939	1029.7799999999997
1	8.72567e-07	1.98541e-06	190.98099999999997	2.47939	1029.7799999999997
2	1.98541e-06	3.40471e-06	190.98099999999997	1.97317	1029.7799999999997
3	3.40471e-06	5.21484e-06	721.8126	1.9725	619.739
4	5.21484e-06	7.52344e-06	1518.0600000000002	1.97251	1289.7958
5	7.52344e-06	1.04678e-05	2111.1999999999994	1.97244	2469.4120000000003
6	1.04678e-05	1.42229e-05	2221.2639999999997	26.0376	4921.57
7	1.42229e-05	1.9012e-05	2447.356	244.587	9058.508000000002
8	1.9012e-05	2.512e-05	2943.5980000000004	1178.06	12089.340000000002
9	2.512e-05	3.29099e-05	3250.0699999999997	2917.53	11860.940000000002
10	3.29099e-05	4.2845e-05	3079.7049999999995	3819.98	9386.264000000001
11	4.2845e-05	5.55159e-05	2526.385	3160.52	6091.226999999999
12	5.55159e-05	7.16761e-05	1914.6200000000006	2135.63	3511.001999999999
13	7.16761e-05	9.22863e-05	1497.6290000000004	1533.11	2103.6420000000003
14	9.22863e-05	0.000118572	1290.137	1270.67	1567.8880000000001
15	0.000118572	0.000152096	1207.3760000000002	1197.44	1336.3719999999998
16	0.000152096	0.000194852	1277.4349999999997	1268.18	1349.347
17	0.000194852	0.000249382	1541.3650000000005	1498.48	1521.2579999999998
18	0.000249382	0.000318927	1897.8040000000003	1863.74	1830.2000000000003
19	0.000318927	0.000407624	2264.848	2259.16	2194.558
20	0.000407624	0.000520745	2556.0250000000005	2541.28	2500.167
21	0.000520745	0.000665016	2651.4719999999993	2644.08	2649.4500000000007
22	0.000665016	0.000849017	2595.1059999999998	2599.99	2585.4410000000007
23	0.000849017	0.00108369	2401.7119999999995	2391.35	2378.8659999999995
24	0.00108369	0.00138298	1993.7489999999993	1925.73	1893.2540000000001
25	0.00138298	0.00176468	1354.1640000000004	1367.3	1367.88
26	0.00176468	0.0022515	1053.729	1051.05	1112.9619999999998
27	0.0022515	0.00287238	1293.83	1139.68	1083.9099999999999
28	0.00287238	0.00366422	1708.76	1139.68	1074.006
29	0.00366422	0.00467413	628.9484000000002	944.657	1071.53
30	0.00467413	0.00596213	166.172	944.657	1071.53
31	0.00596213	inf	166.172	944.657	1071.53
