time_index	left_time_boundary	right_time_boundary	m	M
0	0.0	69.80536	4.430565528189666e-25	0.0
1	69.80536	158.8328	4.430565528189666e-25	0.0
2	158.8328	272.3768	4.430565528189666e-25	0.0
3	272.3768	417.1872	4.430565528189666e-25	0.0
4	417.1872	601.8752000000001	4.430565528189666e-25	0.0
5	601.8752000000001	837.4240000000001	4.430565528189666e-25	0.0
6	837.4240000000001	1137.832	2.0116275510878333e-26	0.0
7	1137.832	1520.96	7.01685157794441e-05	0.05234715990505612
8	1520.96	2009.6000000000001	0.00014962691993272335	0.1812646968451005
9	2009.6000000000001	2632.7920000000004	0.0002529347006387999	0.40264769048574056
10	2632.7920000000004	3427.6000000000004	0.0002442169506480035	0.5948343887048833
11	3427.6000000000004	4441.272	0.0001385082946760589	0.6940285061869733
12	4441.272	5734.088000000001	6.243305722919345e-05	0.7396405882032511
13	5734.088000000001	7382.904	6.816826150701201e-05	0.792055921751348
14	7382.904	9485.76	6.845034168504196e-05	0.8440731845330463
15	9485.76	12167.68	0.00032215807730962817	0.9723013857697154
16	12167.68	15588.16	1e-30	1.0
17	15588.16	19950.559999999998	1e-30	1.0
18	19950.559999999998	25514.16	1e-30	1.0
19	25514.16	32609.920000000002	1e-30	1.0
20	32609.920000000002	41659.6	1e-30	1.0
21	41659.6	53201.280000000006	1e-30	1.0
22	53201.280000000006	67921.36	1e-30	1.0
23	67921.36	86695.2	1e-30	1.0
24	86695.2	110638.40000000001	1e-30	1.0
25	110638.40000000001	141174.4	1e-30	1.0
26	141174.4	180120.0	1e-30	1.0
27	180120.0	229790.4	1e-30	1.0
28	229790.4	293137.60000000003	1e-30	1.0
29	293137.60000000003	373930.4	1e-30	1.0
30	373930.4	476970.4	1e-30	1.0
31	476970.4	1907881.6	1e-30	1.0
