left_boundaries	im_N1	im_N2	m	M
0.0	198574.94595123047	39273.17391589546	3.9776767728370866e-25	0.0
69.80536	198574.94595123047	39273.17391589546	3.9776767728370866e-25	0.0
158.8328	198574.90056850316	39280.953360444604	3.9776767728370866e-25	0.0
272.3768	57003.32828207908	62637.81824920013	3.9776767728370866e-25	0.0
417.1872	26649.753206298024	30539.007130749862	3.9776767728370866e-25	0.0
601.8752000000001	18732.711525918832	16312.99646743422	4.994123147128676e-06	0.0023499539535825065
837.4240000000001	17797.08710423748	8074.199326623179	1.807774502055116e-26	0.0023499539535825065
1137.832	16349.395297212834	4342.06169150592	6.722647937092037e-05	0.05244037249841249
1520.96	13978.407265677642	3190.7957553932156	0.00014987041126311772	0.18154001217518767
2009.6000000000001	13804.960704245012	3035.8634407792492	0.0002524853790869662	0.4025140468664332
2632.7920000000004	17535.56765099968	3410.5337624860103	0.0002442401528008556	0.5947586889616764
3427.6000000000004	22855.77557992314	4871.542135856621	0.00013949525504902775	0.6945830625783224
4441.272	26206.63985192796	8460.256733075345	6.273748409749984e-05	0.7403169615199447
5734.088000000001	29027.490657091595	15079.168496050677	6.825732029268083e-05	0.7926570302408045
7382.904	29936.20939177322	23098.00667009604	6.862781580032553e-05	0.8446399304078687
9485.76	32610.35917351825	32610.359173639266	0.0002994421772063022	0.9688259653771726
12167.68	32231.549859861585	32231.54985976265	0.056268846596175495	1.0
15588.16	26391.625218713194	26391.625218759375	0.00016398558579223735	1.0
19950.559999999998	19420.371752680745	19420.371752573148	2.9530819733905616e-05	1.0
25514.16	14016.583127199205	14016.583128687087	3.060222809944965e-05	1.0
32609.920000000002	11436.032036641536	11436.033670802703	4.355082441848326e-05	1.0
41659.6	9847.436288719933	9847.436288155588	4.3256364075954484e-05	1.0
53201.280000000006	10835.708372534127	10835.708372456807	6.259604148336878e-05	1.0
67921.36	12443.627732811896	12443.627732786343	8.663100567949357e-05	1.0
86695.2	11629.743477192704	11629.743477252716	3.5607154032918134e-05	1.0
110638.40000000001	29999.99998568489	29999.99998568138	98.22680634640248	1.0
141174.4	30000.000000000004	30000.000000000004	1.977771861625595e-05	1.0
180120.0	30000.000000000004	30000.000000000004	2.6013845879292097e-05	1.0
229790.4	30000.000000000004	30000.000000000004	2.6013845879292097e-05	1.0
293137.60000000003	30000.000000000004	30000.000000000004	1.6434016531403707e-05	1.0
373930.4	30000.000000000004	30000.000000000004	1.6434016531403707e-05	1.0
476970.4	30000.000000000004	30000.000000000004	1.6434016531403707e-05	1.0
